Line	DTH	CL	PN	PL	RL	PBN	SBN	SN
Line115	110 	86.5 	13.0 	22.4 	15.9 	9.7 	22.0 	120.0 
Line116	98 	69.8 	12.0 	20.3 	12.4 	8.0 	13.7 	80.3 
Line117	102 	75.3 	16.0 	21.5 	14.1 	8.7 	21.3 	111.7 
Line118	92 	76.0 	8.0 	24.0 	17.9 	11.7 	23.3 	142.3 
Line119	92 	86.5 	13.0 	19.6 	14.9 	10.7 	16.3 	110.0 
Line120	95 	98.2 	10.0 	26.0 	19.9 	12.7 	31.7 	172.0 
Line121	100 	80.5 	12.0 	24.1 	17.8 	9.5 	10.0 	99.0 
Line122	87 	84.1 	17.0 	22.6 	14.1 	10.3 	20.7 	118.3 
Line123	105 	78.1 	11.0 	22.7 	16.3 	11.3 	23.3 	132.0 
Line124	87 	71.1 	15.0 	17.0 	12.8 	10.3 	17.7 	109.7 
Line125	91 	77.1 	12.0 	20.8 	14.5 	8.7 	15.3 	95.0 
Line126	95 	77.5 	12.0 	21.8 	16.2 	10.7 	23.0 	124.3 
Line127	94 	74.8 	16.0 	19.5 	14.3 	9.0 	15.0 	92.0 
Line128	105 	73.9 	13.0 	22.4 	14.3 	9.3 	25.7 	126.7 
Line129	75 	66.7 	13.0 	17.6 	12.3 	8.7 	13.7 	84.7 
Line130	85 	52.5 	14.0 	18.1 	12.7 	8.0 	8.7 	68.3 
Line131	81 	65.3 	11.0 	20.2 	14.6 	9.0 	18.0 	106.3 
Line132	108 	74.2 	13.0 	21.6 	15.4 	10.3 	18.7 	112.0 
Line133	86 	72.5 	15.0 	16.3 	11.8 	10.0 	13.0 	101.0 
Line134	90 	77.5 	9.0 	23.8 	19.0 	11.7 	17.0 	114.3 
Line135	87 	62.0 	15.0 	15.8 	10.8 	9.3 	14.3 	95.7 
Line136	107 	68.7 	11.0 	20.5 	13.0 	9.3 	12.0 	77.3 
Line137	110 	82.6 	12.0 	23.3 	14.6 	12.0 	28.3 	153.0 
Line138	85 	74.5 	13.0 	18.1 	12.8 	8.3 	12.3 	79.7 
Line139	99 	80.6 	13.0 	21.8 	15.6 	9.0 	17.3 	102.3 
Line140	91 	78.0 	12.0 	18.9 	14.3 	11.3 	12.7 	98.3 
Line141	83 	61.7 	11.0 	16.4 	9.3 	7.3 	7.7 	63.3 
Line142	91 	96.5 	9.0 	22.0 	16.7 	12.7 	30.7 	176.3 
Line143	91 	109.6 	10.0 	25.3 	19.7 	14.3 	30.0 	175.3 
Line144	99 	101.8 	15.0 	26.4 	16.7 	8.7 	15.7 	99.7 
Line145	91 	96.1 	11.0 	20.2 	15.5 	11.7 	20.0 	134.0 
Line146	108 	95.7 	12.0 	24.0 	20.0 	13.0 	29.7 	161.7 
Line147	93 	93.9 	10.0 	20.4 	15.4 	14.3 	23.7 	149.3 
Line148	102 	94.9 	11.0 	23.0 	17.9 	11.7 	24.0 	144.7 
Line149	118 	89.5 	14.0 	22.0 	15.4 	10.7 	34.0 	172.7 
Line150	115 	99.9 	13.0 	24.2 	16.0 	8.7 	25.7 	132.7 
Line151	84 	72.7 	13.0 	18.8 	11.9 	8.0 	23.3 	90.3 
Line152	110 	109.2 	10.0 	26.0 	19.5 	12.7 	48.7 	232.3 
Line153	113 	106.8 	9.0 	25.6 	20.0 	13.0 	35.0 	176.7 
Line154	115 	89.0 	12.0 	23.4 	17.6 	9.7 	21.0 	105.3 
Line155	114 	94.6 	11.5 	23.9 	18.5 	10.0 	31.0 	158.0 
Line156	103 	121.4 	8.0 	19.2 	13.6 	8.0 	9.0 	120.0 
Line157	82 	88.9 	5.0 	23.7 	16.5 	13.0 	46.3 	232.0 
Line158	111 	116.2 	11.0 	28.5 	22.9 	13.7 	26.3 	157.3 
Line159	94 	114.8 	9.3 	29.7 	26.1 	15.7 	29.0 	198.3 
Line160	107 	109.7 	9.0 	23.3 	16.8 	12.7 	31.7 	160.7 
Line161	120 	94.8 	10.0 	21.3 	13.2 	11.3 	39.0 	186.3 
Line162	82 	85.1 	7.3 	24.2 	17.8 	14.0 	47.3 	92.7 
Line163	67 	66.0 	14.0 	13.5 	9.3 	7.3 	7.0 	61.0 
Line164	89 	112.7 	9.0 	23.5 	18.9 	15.7 	35.0 	199.3 
Line165	87 	74.8 	7.0 	20.0 	13.7 	10.3 	25.7 	137.3 
Line166	92 	91.3 	16.0 	20.1 	13.4 	11.7 	9.7 	93.0 
Line167	113 	84.3 	12.0 	23.4 	16.7 	9.0 	23.0 	123.7 
Line168	113 	111.8 	11.0 	26.4 	19.7 	11.7 	36.7 	183.0 
Line169	124 	107.9 	15.0 	22.7 	18.2 	16.0 	17.7 	175.0 
